Port_IDs,Total_PnL,Total_ROI,Sharpe_Ratio,Max_Drawdown,Win_Rate,Total_Positions,Win_Positions,Total_ROI_Score,Total_PnL_Score,Sharpe_Ratio_Score,Win_Rate_Score,Max_Drawdown_Score,Rank_Score
4020204877254599680,71998.856,95.04,0.06074803361484551,-8.03,0.33,6050,1993,28.512,17999.714,0.012149606722969102,0.0495,0.8029999999999999,18029.090649606722
3999240873283311617,42574.474,11.04,0.2275053343074535,-0.05,0.52,4522,2366,3.312,10643.6185,0.045501066861490705,0.078,0.005000000000000001,10647.05900106686
4021669203289716224,26427.332,-2.74,0.06825074237072311,-0.16,0.31,1682,528,-0.8220000000000001,6606.833,0.013650148474144622,0.0465,0.016,6606.0871501484735
3960874214179953664,19567.471,2.44,0.16294781502532496,-34.54,0.52,2391,1233,0.732,4891.86775,0.03258956300506499,0.078,3.454,4896.164339563005
3907081197088384000,18015.997,30.85,0.22272929259109017,-0.24,0.61,4137,2540,9.255,4503.99925,0.04454585851821804,0.0915,0.024,4513.414295858519
4028701921959171840,17601.401,0.0,0.2757238783298298,-0.05,0.54,687,373,0.0,4400.35025,0.05514477566596596,0.081,0.005000000000000001,4400.491394775667
3956076827719377409,16790.012,66.49,0.09952801745500056,-0.25,0.52,3916,2019,19.947,4197.503,0.019905603491000113,0.078,0.025,4217.572905603491
3986814617275053313,16337.462,14.28,0.3297865686167909,-0.0,0.78,3554,2780,4.284,4084.3655,0.06595731372335818,0.11699999999999999,0.0,4088.8324573137234
4022565861939831809,14197.577,0.02,0.29960236775732035,-0.11,0.53,705,372,0.006,3549.39425,0.05992047355146407,0.0795,0.011000000000000001,3549.550670473551
3788465932399412480,13960.966,0.36,0.15291214877946058,-0.22,0.45,3069,1369,0.108,3490.2415,0.030582429755892118,0.0675,0.022000000000000002,3490.469582429756
3987739404272887297,12464.606,78.1,0.04988250241110754,-0.31,0.23,6050,1381,23.429999999999996,3116.1515,0.009976500482221509,0.0345,0.031,3139.656976500482
4008711265867865600,11298.706,0.0,0.26628959227457993,-0.05,0.42,394,166,0.0,2824.6765,0.05325791845491599,0.063,0.005000000000000001,2824.7977579184553
3936410995029308417,10681.514,0.0,0.2989837004791926,0.0,0.3,20,6,0.0,2670.3785,0.05979674009583852,0.045,-0.0,2670.4832967400957
3931992636670880512,10374.965,9.17,0.050796275472000454,-0.42,0.4,6050,2430,2.751,2593.74125,0.010159255094400091,0.06,0.042,2596.6044092550947
3939318616482048768,9775.389,0.0,0.2038294609803745,-0.02,0.37,315,118,0.0,2443.84725,0.040765892196074904,0.0555,0.002,2443.9455158921955
3998572645139652353,9603.585,0.0,0.2622908622566463,-0.08,0.36,266,95,0.0,2400.89625,0.052458172451329256,0.054,0.008,2401.010708172451
3962024093501274881,9314.494,0.0,0.07406717883080462,-0.88,0.26,1273,337,0.0,2328.6235,0.014813435766160924,0.039,0.08800000000000001,2328.7653134357665
4031493134338259457,9082.698,0.0,0.15611399339634244,-0.96,0.36,1889,683,0.0,2270.6745,0.031222798679268488,0.054,0.096,2270.8557227986794
3944088772635000577,7581.492,4.99,0.29914107625654146,-0.01,0.46,6063,2774,1.497,1895.373,0.0598282152513083,0.069,0.001,1896.9998282152515
4037121179310444801,7237.922,0.0,0.10910167793369134,-0.16,0.48,1595,772,0.0,1809.4805,0.02182033558673827,0.072,0.016,1809.5903203355865
3886752488982104320,7195.178,18.38,0.2217135876666529,-0.03,0.75,1249,931,5.513999999999999,1798.7945,0.04434271753333058,0.11249999999999999,0.003,1804.468342717533
4017263283405469185,7141.366,-2.34,0.03009011791807703,-12.56,0.34,6050,2034,-0.702,1785.3415,0.006018023583615407,0.051000000000000004,1.2560000000000002,1785.9525180235837
3942630767220672256,6611.898,208.36,0.06797969001775786,-0.98,0.38,4969,1903,62.508,1652.9745,0.013595938003551572,0.056999999999999995,0.098,1715.6510959380037
4026179081117855488,6796.188,-0.0,0.13958624744632814,-2.06,0.23,197,46,-0.0,1699.047,0.02791724948926563,0.0345,0.20600000000000002,1699.3154172494892
3925368433214965504,6789.437,0.01,0.2748734037096021,-0.04,0.33,1458,486,0.003,1697.35925,0.054974680741920426,0.0495,0.004,1697.4707246807418
3910983669796782848,6761.648,6.08,0.3310388618654858,-0.24,0.43,640,274,1.8239999999999998,1690.412,0.06620777237309716,0.0645,0.024,1692.390707772373
3818233536529843712,6419.608,27.84,0.1542821925494645,-0.93,0.34,1421,482,8.352,1604.902,0.0308564385098929,0.051000000000000004,0.09300000000000001,1613.4288564385101
3953764659057081857,6048.866,0.03,0.12403094507422235,-0.3,0.31,583,180,0.009,1512.2165,0.024806189014844472,0.0465,0.03,1512.3268061890149
3976088733682659585,5901.15,3.09,0.14072490358441278,-0.78,0.44,2814,1226,0.9269999999999999,1475.2875,0.028144980716882557,0.066,0.07800000000000001,1476.3866449807167
3999845462424248576,5843.153,45.62,0.22593466080542907,-0.27,0.43,3318,1443,13.685999999999998,1460.78825,0.04518693216108582,0.0645,0.027000000000000003,1474.6109369321612
3978449781300392193,5888.656,0.0,0.12184255969003435,-0.43,0.44,784,344,0.0,1472.164,0.024368511938006873,0.066,0.043000000000000003,1472.297368511938
4011626972687000576,5483.15,1.27,0.07725671532102603,-0.59,0.38,6056,2326,0.381,1370.7875,0.015451343064205206,0.056999999999999995,0.059,1371.299951343064
4031173908980084736,5360.426,0.0,0.2956368668788939,-0.02,0.38,225,85,0.0,1340.1065,0.05912737337577878,0.056999999999999995,0.002,1340.2246273733758
